"IP Address","MAC Address","Hostname","Room","Alive","IP Reserved","Connection","Source","First Seen","Last Seen","Manufacturer","Category","Description"
"192.168.0.97","b8:e9:37:9d:19:aa","SonosFamily","Family Room","Alive","Yes — DHCP","Wireless","ARP + AdGuard","04 May 2026","05 May 2026 11:32","Sonos Inc.","Audio","Sonos speaker — Family room."
"192.168.0.91","2e:8e:70:58:bf:5e","—","—","Alive","No","Wireless","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","—","Mobile","Mobile device — randomised MAC (phone or tablet)."
"192.168.0.66","3e:43:e9:b7:9b:c5","—","?","Alive","No","Wireless","IP Scanner","05 May 2026 11:32","05 May 2026 11:32","—","Unknown","Unknown — randomised MAC. Online at .66 in IP Scanner; same MAC was dead at .64 (older lease). Not in ARP sweep."
"192.168.0.51","78:3e:53:a3:9d:ca","skyq-main.lan","Master Bedroom","Yes","No","Wireless","IP Scanner","05 May 2026 11:32","05 May 2026 12:18","BSkyB Ltd","Entertainment","Sky Q Mini — Master Bedroom. Confirmed alive at .51 (12:18 scan). PTR: skyq-main.lan. Connected to Samsung TV at .74."
"192.168.0.20","00:a0:de:d4:b0:f2","Yamaha RX-V679","Family Room","Dead","Yes — Static OS","Wired","IP Scanner","—","—","Yamaha Corporation","Audio","Yamaha RX-V679 AV Receiver / Home Theatre Amp. Fixed IP set on device (Static OS). Powered off during both scans today — a different device (TI chip, see Unknown) briefly held .20 via DHCP while Yamaha was offline."
"192.168.0.30","bc:ad:28:22:20:7c","HIK CCTV Gate","Outside","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 12:18","Hangzhou Hikvision Digital Technology","Security","HIK CCTV Gate — NVR CH1. DS-2CD2642FWD-IS 4MP WDR. PoE. HA: camera.calgary_house_nvr_channel_1 · device name 'Gate' · area Outside. ⚠ Shows as 'Gate' in HA, not 'HIK CCTV Gate'."
"192.168.0.31","28:57:be:b5:99:de","HIK CCTV Rear","Outside","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 12:18","Hangzhou Hikvision Digital Technology","Security","HIK CCTV Rear — NVR CH2. DS-2CD2322WD-I 2MP WDR. PoE. HA: camera.calgary_house_nvr_channel_2 · device name 'Rear' · area Outside."
"192.168.0.32","—","HIK CCTV Chickens","Outside","No","No","Wired","IP Scanner","—","05 May 2026 12:18","Hangzhou Hikvision Digital Technology","Security","HIK CCTV Chickens — NVR CH3 (NVR label: 'Shed'). PoE. Offline during all scans; MAC unknown. HA: camera.calgary_house_nvr_channel_3 · ⚠ in Outside area, should be Chickens area."
"192.168.0.33","4c:bd:8f:3d:f2:1d","HIK CCTV Garage","Outside","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 12:18","Hangzhou Hikvision Digital Technology","Security","HIK CCTV Garage — NVR CH4. DS-2CD2355FWD-I-G 5MP. PoE. HA: camera.calgary_house_nvr_channel_4 · ⚠ No custom name set in HA · area Outside."
"192.168.0.34","—","IPCamera 05","Outside","No","No","Wired","ARP only","—","—","Hangzhou Hikvision Digital Technology","Security","Unidentified camera — NVR CH5 (label 'IPCamera 05'). Static IP .34 set in NVR. Offline; not responding to ping/ARP. MAC unknown. HA: camera.calgary_house_nvr_channel_5 · area Outside."
"192.168.0.35","c4:2f:90:7b:14:6f","HIK CCTV Side","Outside","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 12:18","Hangzhou Hikvision Digital Technology","Security","HIK CCTV Side — NVR CH6. DS-2CD2342WD-I 4MP WDR. PoE. HA: camera.calgary_house_nvr_channel_6 · device name 'Side' · area Outside."
"192.168.0.36","98:df:82:48:75:e4","HIK CCTV Front","Outside","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 12:18","Hangzhou Hikvision Digital Technology","Security","HIK CCTV Front — NVR CH7. DS-2CD2386G2-I 8MP AcuSense. PoE. HA: camera.calgary_house_nvr_channel_7 · ⚠ No custom name set in HA · area Outside."
"192.168.0.52","e8:6f:38:a9:df:57","SDP-LAPTOP","Lounge","true","R","?","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","Chongqing Fugui Electronics Co., Ltd. (Realtek NIC)","Computers","SDP-LAPTOP — Simon's laptop (Realtek Wi-Fi/Ethernet OUI). DHCP reserved .52. DNS: SDP-LAPTOP / SDP-LAPTOP.lan. Tailscale: 100.67.46.14 (sdp-laptop.tail457ec3.ts.net). HA: device_tracker.sdp_laptop via Fing."
"192.168.0.5","00:90:a9:6b:32:12","EMPIRIDUMCLOUD","Gym","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","Western Digital","Infrastructure","Western Digital EX4 NAS (legacy). FTP service: Pure-FTPd. Empiridum business storage."
"192.168.0.11","c8:08:e9:d4:bb:b5","LG EF950V TV","Family Room","Yes","No","Wireless","IP Scanner","05 May 2026 11:32","05 May 2026 12:18","LG Electronics","Entertainment","LG EF950V OLED Smart TV — Family Room. HA: device_tracker.family_room_tv_2 'LG EF950V TV', area: Family Room."
"192.168.0.15","28:57:be:86:bf:00","HIK CCTV NVR","Gym","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 12:18","Hangzhou Hikvision Digital Technology","Security","HIK CCTV NVR — Hikvision DS-7608NI-E2/8P/A 8-ch PoE NVR, FW V3.4.92. HTTP admin :80. HA integration 'Calgary House NVR' (hikvision). HA area: Family Room. CH1 Gate, CH2 Rear, CH3 Shed/Chickens, CH4 Garage, CH5 IPCamera05, CH6 Side, CH7 Front, CH8 unused."
"~192.168.0.20","68:9e:19:e8:8f:db","—","Family Room","Dead","No","?","ARP only","05 May 2026 10:44","05 May 2026 10:44","Texas Instruments","Unknown","TI SimpleLink IoT device — unidentified transient. Held .20 via DHCP while Yamaha Amp was powered off. .20 is now a fixed (Static OS) address owned by the Yamaha; this device is at an unknown current IP."
"192.168.0.64","0c:ef:15:4e:71:63","c460","?","Alive","No","Wireless","ARP only","05 May 2026 10:44","05 May 2026 10:44","TP-Link Systems Inc.","Printers","Samsung Xpress C460W colour laser printer (built-in Wi-Fi using TP-Link chipset)."
"192.168.0.56","54:af:97:61:7b:65","Hot Water Pump P100","The Love Den","Alive","No","Wireless","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","TP-Link Systems Inc.","Smart Home","TP-Link Tapo P100 smart plug (HW 2.0, FW 1.4.0). Named 'Hot Water Pump' in Tapo app. HA: switch.hot_water_pump, tplink integration, area: The Love Den."
"192.168.0.75","d0:ba:e4:e7:95:25","PhilipsAir","Master Bedroom","Yes","DHCP Reserved","Wireless","ARP","05 May 2026 11:32","05 May 2026 15:32","Philips (MXCHIP Wi-Fi module)","Smart Home","Philips Air+ AC2936/33 Series 2000i Air Purifier (fw Ms2106). CoAP/UDP 5683. DHCP reserved .75. HA: device_tracker.air_purifier via Fing (home), area: Master Bedroom. philips_airpurifier_coap custom integration installed — pair via Philips+ app to enable full control."
"192.168.0.58","34:60:f9:94:93:d8","—","?","Alive","No","Wireless","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","TP-Link Systems Inc.","Smart Home","TP-Link Tapo smart plug. HTTP: SHIP 2.0 protocol confirmed."
"~192.168.0.59","70:ee:50:86:19:8e","Velux Controller","Gym","Dead","No","Wireless","IP Scanner","—","—","Netatmo (Velux Active platform)","Smart Home","Velux Controller — user-confirmed. OUI 70:ee:50 = Netatmo (Velux Active uses Netatmo-chipset controllers). Offline; last seen at ~.59 before Miele Dishwasher took that IP."
"192.168.0.59","00:1d:63:75:0a:43","miele-001d63fffe750a43","Kitchen","Alive","No","Wireless","ARP only","05 May 2026 10:44","05 May 2026 12:18","Miele & Cie. KG","Smart Home","Miele Dishwasher — HomeKit Wi-Fi module. Confirmed alive (ARP + 12:18 scan). OUI 00:1d:63 = Miele. Previously at .131 in IP Scanner; moved to .59 since."
"~192.168.0.60","54:af:97:a8:ef:23","—","?","Dead","No","Wireless","IP Scanner","—","—","TP-Link Corporation Limited","Smart Home","TP-Link Tapo device (third unit). Offline; last seen at .60."
"192.168.0.62","00:1d:63:cb:7c:76","miele-001d63fffecb7c76","?","Alive","No","Wireless","ARP only","05 May 2026 10:44","05 May 2026 12:18","Miele & Cie. KG","Smart Home","Miele Tumble Dryer — HomeKit Wi-Fi module. Confirmed alive (ARP + 12:18 scan). OUI 00:1d:63 = Miele. Not detected by IP Scanner; appeared in first ARP sweep."
"~192.168.0.63","06:46:ff:ad:d4:da","iPhone","—","Dead","No","Wireless","IP Scanner","—","—","—","Mobile","iPhone — different randomised MAC (second iPhone or rotated address). Offline; last seen at .63."
"~192.168.0.65","ac:15:a2:2d:9b:69","—","?","Dead","No","?","IP Scanner","—","—","—","Unknown","Unknown device — OUI AC:15:A2 unresolved. Offline; last seen at .65."
"~192.168.0.53","4a:92:d8:5b:d0:f9","—","?","Dead","No","Wireless","IP Scanner","—","—","—","Unknown","Unknown — locally-administered (randomised) MAC. No OUI match. Offline; last seen at .53."
"192.168.0.54","84:fc:e6:34:6f:04","switchbot-hub-2","Kitchen","Yes","No","Wireless","ARP only","05 May 2026 10:44","05 May 2026 13:28","Espressif Inc.","Smart Home","SwitchBot Hub 2 W3202100 (Kitchen) — temperature/humidity hub + IR blaster. HA 'SwitchBot Cloud' integration added 05 May 13:28. Hub reading: 23.3C 49%. Routes 4 WoIOSensors: Study 23.3C 48% bat60%, Family Room 24.9C 44% bat60%, Master Bedroom 24.8C 46% bat60%, Outdoor Heat Pump 16.8C 58% bat60%. All assigned to HA areas."
"~192.168.0.54","00:1e:c0:9b:47:c3","Neo-hub (old Hive Hub gen 1)","?","Dead","No","Wired","IP Scanner","—","—","Microchip Technology Inc.","Smart Home","Old Hive Hub gen 1. Seen dead at .54 by IP Scanner. Superseded by Hive Neo Hub at .89."
"192.168.0.63","54:af:97:61:7b:61","Rega Vent Circ P100","Master Bedroom","Yes","No","Wireless","ARP","05 May 2026 16:24","05 May 2026 16:24","TP-Link Systems Inc.","Smart Home","TP-Link Tapo P100 smart plug. Named 'Rega Vent Circ' in Tapo app. HA: tplink integration (auto-discovered)."
"192.168.0.77","ac:15:a2:2d:9b:69","CliveVacuum","Master Bedroom","Yes","DHCP Reserved","Wireless","ARP","05 May 2026 16:24","05 May 2026 16:24","TP-Link Systems Inc.","Smart Home","TP-Link Tapo RV10 Lite robot vacuum. Named 'Clive Petrescu' in HA (Fing tracked). DHCP reserved .77. HA: device_tracker.rv10_lite, area: Master Bedroom. Full tplink integration pending (TLS/port-4433 handshake issue with HA 2026.4.3)."
"192.168.0.103","02:12:46:c8:87:e8","Sharon-iPhone","Family Room","","","Wireless","ARP + Fing","05 May 2026 16:45","05 May 2026 16:45","Apple (randomised MAC)","Mobile","Sharon's iPhone — joined network 05 May 2026 ~16:45. MAC is locally-administered (iOS Private Wi-Fi Address / randomisation); hardware MAC unknown. HA: device_tracker.sharon_iphone via Fing, area: Family Room."
"192.168.0.79","00:8a:76:9c:b1:8a","FamilyiPad","Family Room","","","Wireless","ARP + Fing","05 May 2026 17:37","05 May 2026 17:41","Apple, Inc.","Mobile","Family iPad — Apple (OUI confirmed). Real hardware MAC (Private Wi-Fi Address disabled). DHCP reserved .79. HA: device_tracker.family_ipad 'Family iPad', area: Family Room."
